prediction,prediction_label,confidence,method,ml_score,semantic_score,ml_weight,semantic_weight,threshold,semantic_reasons,override_reason,risk_level,true_label,contract_name,correct
1,VULNERABLE,0.2991665,HYBRID,0.9972216,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,01_super_simple_safe,False
1,VULNERABLE,0.2977603,HYBRID,0.9925343,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,03_complex_but_safe,False
0,SAFE,0.16222085,HYBRID,0.54073614,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,23_only_events,True
0,SAFE,0.0031447492,HYBRID,0.010482497,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,22_empty_contract,True
0,SAFE,0.04800343,HYBRID,0.16001143,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,25_gas_optimization_extreme,True
1,VULNERABLE,0.29732856,HYBRID,0.9910952,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,13_modern_defi_safe,False
1,VULNERABLE,0.29978174,HYBRID,0.9992724,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,18_oracle_manipulation,False
1,VULNERABLE,0.29963538,HYBRID,0.9987846,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,07_integer_overflow_old,False
1,VULNERABLE,0.29945147,HYBRID,0.99817157,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,24_intentional_honeypot,True
1,VULNERABLE,0.29964495,HYBRID,0.9988165,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,09_delegatecall_danger,True
1,VULNERABLE,0.29918462,HYBRID,0.997282,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,17_logic_error,False
1,VULNERABLE,0.2989904,HYBRID,0.99663466,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,15_gas_griefing,False
1,VULNERABLE,0.29986408,HYBRID,0.99954695,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,10_tx_origin_auth,False
0,SAFE,0.08667705,HYBRID,0.2889235,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,20_upgradeable_safe,True
1,VULNERABLE,0.29953274,HYBRID,0.9984425,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,11_hidden_reentrancy,True
1,VULNERABLE,0.29854226,HYBRID,0.9951408,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,19_flash_loan_attack_vector,False
1,VULNERABLE,0.29942602,HYBRID,0.9980867,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,12_false_positive_trap,False
1,VULNERABLE,0.29798543,HYBRID,0.9932847,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,06_unchecked_external_call,False
1,VULNERABLE,0.29959515,HYBRID,0.9986505,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,04_simple_but_vulnerable,True
1,VULNERABLE,0.2992974,HYBRID,0.9976579,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,08_safe_with_checks,False
1,VULNERABLE,0.29980394,HYBRID,0.99934644,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,02_obvious_reentrancy,True
0,SAFE,0.023940267,HYBRID,0.07980089,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,14_assembly_safe,True
1,VULNERABLE,0.29844153,HYBRID,0.99480504,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,1,16_front_running_vulnerable,True
0,SAFE,0.023940267,HYBRID,0.07980089,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,MINIMAL,0,21_timelock_missing,True
1,VULNERABLE,0.2997449,HYBRID,0.9991497,0.0,0.3,0.7,0.2,['✅ Perfect CEI compliance'],,LOW,0,05_timestamp_manipulation,False
